日期,編號,項目,狀態,負責人,備註,單位,客戶,耗時分鐘,金額
7月27日,L267131,B 類,,OP-131,待確認,研發,順發,239,69.65
2026/6/28,L260218,A 類,待處理,OP-138,,資材,捷欣,94,28.87
6月18日,L269884,A 類,已結案,OP-148,,製造,捷欣,122,53.74
2026/6/1,L261231,A 類,,OP-106,,研發,順發,193,45.03
7月2日,L265453,B 類,合格,OP-135,待確認,製造,永利,173,84.49
6月30日,L262953,B 類,不合格,OP-133,,資材,東昇,138,96.16
0720,L262619,B 類,合格,OP-114,,營運,永利,221,13.98
6月1日,L267457,B 類,待處理,OP-110,,製造,大宏,143,82.99
2026/6/6,L267050,其他,,OP-145,,資材,東昇,93,39.03
7月16日,L260056,B 類,已結案,OP-118,,製造,順發,187,67.72
0604,L269171,A 類,不合格,OP-127,,資材,大宏,77,93.21
7月9日,L265178,其他,,OP-126,,研發,東昇,155,70.47
0710,L267725,其他,合格,OP-121,已回報,營運,力鋼,94,0.98
6月3日,L263621,A 類,合格,OP-106,,研發,東昇,50,1.77
6月13日,L265052,C 類,待處理,OP-113,,品保,永利,1100.0,38.2
0717,L262624,B 類,已結案,OP-144,待確認,研發,順發,221,37.08
0603,L268298,其他,已結案,OP-142,,製造,力鋼,171,71.38
0618,L268026,B 類,合格,OP-120,,研發,大宏,161,32.28
0716,L269026,A 類,待處理,OP-134,已回報,研發,東昇,125,91.1
7月1日,L265938,A 類,合格,OP-112,,營運,大宏,22,68.11
6月29日,L266281,C 類,,OP-117,已回報,營運,力鋼,71,52.67
0607,L269771,C 類,合格,OP-118,待確認,品保,東昇,97,14.41
0603,L260082,A 類,合格,OP-114,,品保,東昇,87,62.59
2026/6/24,L260773,B 類,已結案,OP-135,,品保,力鋼,45,94.64
2026/7/5,L265752,C 類,合格,OP-123,,研發,大宏,28,89.29
0615,L263618,C 類,合格,OP-117,,製造,東昇,104,5.32
2026/7/23,L267370,A 類,已結案,OP-108,已回報,資材,捷欣,209,70.79
2026/7/20,L262289,A 類,待處理,OP-141,,研發,順發,107,5.37
0723,L266411,C 類,合格,OP-131,已回報,製造,順發,159,16.99
2026/6/7,L262311,其他,已結案,OP-121,,營運,永利,125,47.68
7月10日,L263333,A 類,不合格,OP-111,待確認,資材,東昇,160,46.45
0618,L263274,其他,不合格,OP-129,待確認,品保,東昇,126,18.97
2026/7/27,L262498,A 類,不合格,OP-133,,資材,捷欣,100,17.5
0719,L263643,B 類,已結案,OP-115,,品保,捷欣,197,54.76
0703,L267842,B 類,待處理,OP-122,,品保,永利,148,50.64
0713,L265995,B 類,,OP-139,,製造,東昇,217,57.07
7月26日,L261181,B 類,,OP-123,,研發,永利,116,96.45
2026/6/6,L262948,其他,合格,OP-105,,資材,順發,24,40.46
2026/7/10,L265371,B 類,不合格,OP-128,,製造,力鋼,174,31.02
2026/6/26,L263031,C 類,待處理,OP-114,待確認,營運,捷欣,81,75.03
7月22日,L263792,A 類,,OP-115,已回報,研發,大宏,88,88.09
6月10日,L261131,B 類,待處理,OP-106,,製造,大宏,154,17.66
6月5日,L265547,A 類,,OP-110,待確認,製造,東昇,198,87.1
7月18日,L268710,A 類,不合格,OP-108,已回報,營運,力鋼,143,38.85
2026/7/17,L263090,B 類,,OP-120,,資材,永利,152,68.6
2026/6/11,L269728,C 類,,OP-131,已回報,研發,順發,77,53.32
7月1日,L262248,B 類,,OP-106,已回報,資材,捷欣,33,77.05
2026/6/17,L268755,其他,,OP-146,已回報,製造,東昇,78,93.65
7月23日,L269916,C 類,,OP-118,,製造,東昇,100,19.74
0629,L269358,C 類,已結案,OP-111,,製造,捷欣,135,6.4
0719,L261549,A 類,,OP-124,待確認,研發,永利,181,1.86
2026/6/4,L267850,C 類,,OP-108,待確認,資材,東昇,210,22.18
2026/7/13,L263959,A 類,已結案,OP-130,,研發,力鋼,19,0.37
6月25日,L261381,其他,待處理,OP-124,待確認,研發,捷欣,213,64.22
0606,L261887,其他,待處理,OP-106,已回報,製造,永利,166,72.1
2026/6/13,L262495,A 類,待處理,OP-126,,製造,永利,185,45.5
7月25日,L269020,B 類,不合格,OP-131,,研發,永利,124,87.62
7月1日,L267018,C 類,,OP-120,,品保,永利,217,85.56
7月13日,L264651,B 類,合格,OP-142,已回報,資材,捷欣,38,24.55
0724,L261898,其他,已結案,OP-107,已回報,資材,順發,8,17.21
2026/6/12,L266258,其他,待處理,OP-105,,製造,順發,42,64.37
6月13日,L267425,其他,待處理,OP-117,,製造,永利,144,45.32
0705,L266255,B 類,,OP-139,,營運,捷欣,145,12.56
6月1日,L265964,其他,已結案,OP-118,,營運,大宏,189,30.31
2026/6/13,L265328,C 類,,OP-138,,營運,東昇,191,1.41
6月13日,L261560,C 類,,OP-114,已回報,營運,東昇,54,1.2
0608,L265873,A 類,不合格,OP-133,,製造,東昇,152,20.71
7月23日,L260777,其他,已結案,OP-148,已回報,品保,大宏,40,96.54
7月21日,L264013,其他,已結案,OP-128,,研發,捷欣,60,70.94
2026/6/2,L267545,A 類,,OP-104,已回報,營運,力鋼,46,44.28
6月28日,L266029,A 類,待處理,OP-117,已回報,資材,永利,2,81.85
2026/7/10,L262149,其他,,OP-134,,資材,東昇,41,25.55
0719,L263021,A 類,待處理,OP-107,,研發,順發,76,1.2
0708,L268845,A 類,不合格,OP-133,,製造,大宏,28,6.66
0729,L266716,A 類,,OP-124,已回報,研發,大宏,42,69.19
2026/7/2,L267955,B 類,,OP-119,待確認,研發,力鋼,231,11.76
2026/6/10,L265753,B 類,待處理,OP-122,,營運,大宏,177,86.29
7月19日,L265657,其他,,OP-133,,製造,永利,43,48.22
0707,L263561,C 類,,OP-145,,營運,力鋼,130,33.01
0706,L265392,A 類,,OP-126,已回報,營運,大宏,131,93.21
0708,L260291,B 類,已結案,OP-104,已回報,資材,捷欣,126,62.53
0730,L260374,A 類,,OP-126,,資材,東昇,210,88.32
7月11日,L265023,其他,,OP-102,,營運,大宏,204,4.58
6月18日,L264683,B 類,,OP-111,,營運,永利,45,93.2
7月25日,L268066,A 類,合格,OP-107,待確認,製造,捷欣,36,96.46
7月13日,L266329,C 類,合格,OP-144,,研發,力鋼,240,48.99
0628,L269797,其他,已結案,OP-140,,資材,東昇,77,92.24
0709,L260322,B 類,,OP-121,待確認,營運,力鋼,27,45.19
7月5日,L269334,其他,合格,OP-103,待確認,研發,永利,147,20.38
0612,L264095,C 類,待處理,OP-131,待確認,製造,順發,5,67.36
0629,L264340,C 類,合格,OP-117,,品保,永利,75,31.5
7月22日,L269028,B 類,待處理,OP-105,待確認,製造,捷欣,85,31.81
7月10日,L260147,C 類,已結案,OP-132,已回報,研發,大宏,39,81.59
2026/7/30,L266226,其他,已結案,OP-114,,品保,力鋼,112,31.12
2026/6/7,L265781,C 類,合格,OP-109,,營運,捷欣,26,42.11
0712,L269631,A 類,待處理,OP-105,待確認,資材,東昇,72,56.11
2026/6/6,L268075,A 類,已結案,OP-134,,製造,永利,4,50.99
7月2日,L267763,C 類,已結案,OP-116,已回報,研發,順發,143,4.15
2026/6/7,L265436,B 類,已結案,OP-120,,研發,捷欣,74,13.47
0610,L263470,C 類,合格,OP-135,,資材,順發,37,72.23
7月10日,L267832,C 類,,OP-123,,製造,永利,13,21.98
2026/6/26,L268311,B 類,,OP-146,,資材,永利,178,80.11
2026/6/9,L267294,A 類,合格,OP-115,,資材,力鋼,223,53.55
0629,L265151,其他,待處理,OP-113,,製造,捷欣,196,76.89
6月7日,L261612,B 類,,OP-119,已回報,研發,永利,219,29.38
2026/6/11,L261112,B 類,,OP-148,待確認,研發,大宏,32,84.99
2026/6/21,L267047,其他,,OP-132,待確認,製造,順發,204,62.11
2026/7/12,L267616,A 類,,OP-117,待確認,製造,捷欣,55,6.93
6月5日,L261560,其他,合格,OP-125,已回報,品保,力鋼,186,47.63
6月4日,L268058,C 類,待處理,OP-104,,品保,捷欣,129,55.35
2026/7/28,L264861,其他,待處理,OP-128,,研發,力鋼,4,88.36
2026/7/17,L267151,B 類,,OP-110,已回報,製造,捷欣,189,7.82
0617,L266141,其他,,OP-113,待確認,製造,永利,6,49.61
0608,L262877,其他,待處理,OP-123,,資材,力鋼,100,92.86
6月22日,L265233,B 類,已結案,OP-140,已回報,製造,力鋼,231,59.19
2026/7/13,L265599,其他,,OP-116,已回報,製造,大宏,158,64.37
2026/6/9,L264777,B 類,,OP-115,,製造,順發,235,0.24
2026/7/9,L261789,C 類,不合格,OP-116,已回報,研發,力鋼,194,28.52
0620,L260465,其他,,OP-106,,營運,東昇,23,33.29
7月17日,L263985,其他,待處理,OP-103,待確認,品保,永利,58,70.47
7月29日,L264613,A 類,合格,OP-101,待確認,研發,東昇,34,16.72
7月7日,L268637,A 類,合格,OP-144,,品保,力鋼,60,83.28
0607,L263552,B 類,不合格,OP-132,,營運,順發,30,52.72
7月21日,L269713,B 類,不合格,OP-115,,研發,永利,157,91.87
0719,L268027,B 類,已結案,OP-104,已回報,製造,順發,102,25.47
0701,L265013,C 類,,OP-133,,製造,捷欣,187,93.54
2026/6/8,L267328,C 類,不合格,OP-138,,製造,大宏,214,48.93
7月5日,L261759,A 類,,OP-132,待確認,資材,順發,63,14.31
2026/7/17,L263526,C 類,已結案,OP-116,,營運,順發,20,9.83
6月9日,L264490,A 類,合格,OP-137,,製造,大宏,124,70.17
2026/7/14,L265375,B 類,已結案,OP-113,,製造,順發,148,53.8
6月4日,L262426,其他,,OP-130,已回報,營運,大宏,96,41.95
6月26日,L268348,A 類,不合格,OP-120,已回報,製造,東昇,47,27.72
2026/6/14,L263578,C 類,合格,OP-137,,營運,捷欣,128,13.5
7月12日,L267138,A 類,待處理,OP-135,,研發,順發,181,14.38
2026/7/26,L264290,C 類,不合格,OP-112,,研發,力鋼,18,84.86
7月19日,L262631,C 類,待處理,OP-124,,營運,捷欣,159,69.51
2026/6/17,L267888,B 類,,OP-143,待確認,營運,力鋼,201,6.4
2026/6/8,L260630,其他,已結案,OP-104,,品保,順發,176,13.66
7月18日,L269271,C 類,不合格,OP-141,,製造,大宏,188,84.32
2026/7/10,L263764,B 類,不合格,OP-115,待確認,營運,東昇,90,60.14
0722,L269154,A 類,待處理,OP-143,,製造,捷欣,19,44.53
0712,L268346,其他,合格,OP-147,,製造,力鋼,70,64.6
6月13日,L266397,A 類,,OP-107,,營運,捷欣,132,84.93
0605,L265289,其他,待處理,OP-147,,資材,力鋼,71,54.89
7月12日,L265625,其他,已結案,OP-135,,品保,大宏,179,21.99
7月12日,L264785,其他,待處理,OP-132,已回報,資材,順發,142,40.21
0629,L264589,其他,,OP-101,,營運,大宏,138,92.17
2026/7/1,L264166,C 類,,OP-122,已回報,資材,東昇,184,51.22
7月9日,L261180,C 類,,OP-134,,資材,捷欣,61,22.63
0705,L260060,A 類,待處理,OP-104,已回報,製造,順發,88,4.07
7月27日,L263343,C 類,,OP-142,待確認,研發,順發,141,54.97
2026/6/14,L261399,C 類,,OP-101,待確認,營運,力鋼,233,66.45
0619,L261781,A 類,,OP-118,待確認,品保,大宏,35,17.86
2026/7/22,L269569,其他,待處理,OP-129,待確認,品保,捷欣,64,50.9
7月8日,L261661,B 類,,OP-117,已回報,製造,順發,229,3.03
7月18日,L264255,A 類,合格,OP-112,,資材,永利,93,81.04
0616,L265948,B 類,,OP-130,待確認,營運,永利,119,94.02
7月22日,L261783,A 類,,OP-134,,資材,大宏,15,8.44
0722,L263016,C 類,合格,OP-138,已回報,品保,捷欣,25,15.98
0707,L261728,C 類,合格,OP-112,已回報,品保,順發,72,22.27
2026/6/4,L269275,A 類,待處理,OP-138,,研發,東昇,174,82.0
2026/6/12,L268379,B 類,已結案,OP-140,,製造,大宏,51,42.49
0626,L264582,C 類,,OP-120,,營運,捷欣,22,27.84
0713,L260273,B 類,不合格,OP-145,,品保,順發,125,37.24
0627,L267592,其他,,OP-134,已回報,製造,大宏,107,32.65
7月24日,L263966,A 類,不合格,OP-114,已回報,品保,順發,18,78.03
7月30日,L264960,其他,待處理,OP-114,,品保,大宏,25,59.57
6月17日,L269018,其他,待處理,OP-126,,營運,永利,233,91.48
0728,L265215,其他,,OP-128,,營運,大宏,236,80.67
2026/7/18,L260281,其他,合格,OP-130,待確認,營運,永利,145,58.68
0717,L265750,其他,已結案,OP-121,,研發,大宏,103,78.24
6月9日,L268832,其他,待處理,OP-110,已回報,資材,順發,157,2.42
7月28日,L268177,A 類,已結案,OP-131,,研發,力鋼,104,35.97
0702,L262831,其他,合格,OP-122,,研發,捷欣,97,83.94
0620,L264153,A 類,不合格,OP-136,已回報,品保,永利,190,38.78
2026/6/28,L267141,B 類,不合格,OP-146,已回報,資材,捷欣,44,88.42
0627,L264593,其他,待處理,OP-139,待確認,研發,大宏,118,55.72
0609,L268127,A 類,,OP-103,已回報,資材,力鋼,213,44.48
0603,L266394,A 類,已結案,OP-147,待確認,資材,力鋼,205,56.26
0727,L268694,C 類,已結案,OP-108,,品保,力鋼,103,70.67
7月8日,L266613,A 類,不合格,OP-128,,品保,順發,103,54.4
7月15日,L260182,C 類,,OP-137,,研發,永利,44,89.17
7月30日,L263195,A 類,,OP-131,已回報,製造,力鋼,151,80.93
0704,L265925,其他,,OP-128,待確認,營運,力鋼,83,8.64
0621,L260712,C 類,待處理,OP-136,已回報,營運,永利,32,24.96
7月9日,L268737,B 類,待處理,OP-114,待確認,品保,大宏,130,5.72
2026/6/14,L261540,其他,不合格,OP-146,,品保,永利,41,48.6
0609,L260728,B 類,,OP-132,,品保,順發,122,24.82
0612,L263833,B 類,合格,OP-106,,營運,東昇,86,56.43
7月16日,L263919,其他,,OP-127,,營運,東昇,138,65.03
6月2日,L263881,A 類,待處理,OP-129,,營運,力鋼,35,35.74
0720,L267520,其他,不合格,OP-113,,製造,力鋼,24,62.72
7月21日,L266737,其他,不合格,OP-130,,資材,大宏,238,94.7
2026/7/10,L260728,其他,合格,OP-113,,營運,東昇,125,69.64
2026/6/12,L262251,A 類,不合格,OP-130,,營運,大宏,155,43.09
0622,L269780,B 類,,OP-123,待確認,資材,東昇,9,23.47
2026/6/7,L261435,A 類,已結案,OP-142,,營運,東昇,178,22.27
2026/7/21,L268013,B 類,合格,OP-108,,品保,大宏,28,14.01
2026/7/8,L262924,B 類,,OP-119,待確認,營運,捷欣,223,69.23
2026/7/24,L268652,C 類,已結案,OP-124,,研發,大宏,150,95.95
2026/6/21,L262443,A 類,已結案,OP-108,,資材,力鋼,84,9.44
0729,L265745,其他,待處理,OP-117,,品保,順發,186,32.54
0609,L266927,其他,已結案,OP-146,,研發,捷欣,130,32.85
0717,L260684,A 類,,OP-138,,製造,順發,79,19.83
6月14日,L265399,A 類,合格,OP-139,,品保,力鋼,205,47.74
7月6日,L268115,B 類,待處理,OP-108,,品保,力鋼,49,17.82
2026/6/12,L264911,B 類,合格,OP-147,待確認,研發,東昇,235,92.43
0626,L262514,C 類,不合格,OP-101,,資材,東昇,126,93.18
2026/6/9,L264977,B 類,,OP-142,,製造,大宏,123,68.17
7月10日,L260546,B 類,合格,OP-140,已回報,營運,東昇,134,16.67
2026/6/23,L267458,C 類,,OP-106,,製造,永利,197,28.62
0622,L269937,其他,待處理,OP-148,,營運,永利,165,82.55
6月2日,L264565,B 類,,OP-121,已回報,品保,力鋼,72,28.3
0625,L260729,B 類,不合格,OP-116,已回報,資材,大宏,119,78.02
2026/6/18,L262099,A 類,已結案,OP-109,,品保,東昇,67,97.52
6月14日,L266621,A 類,,OP-126,,資材,捷欣,73,6.59
6月26日,L262148,A 類,已結案,OP-140,待確認,製造,東昇,143,36.53
2026/7/13,L261413,B 類,待處理,OP-104,,營運,捷欣,215,48.14
0614,L261363,其他,不合格,OP-139,,品保,大宏,76,61.97
2026/6/29,L261944,C 類,待處理,OP-137,,研發,大宏,177,63.04
0725,L267552,其他,合格,OP-115,,資材,大宏,201,90.57
0727,L263929,B 類,合格,OP-111,,製造,順發,164,75.46
2026/7/4,L260892,C 類,待處理,OP-114,待確認,營運,順發,18,54.52
2026/6/29,L262493,C 類,不合格,OP-125,,營運,力鋼,237,37.94
7月28日,L266833,其他,合格,OP-126,已回報,製造,東昇,197,49.54
6月10日,L268766,其他,合格,OP-131,待確認,研發,東昇,73,58.88
2026/6/21,L267981,其他,已結案,OP-129,待確認,資材,大宏,48,30.78
0723,L263387,C 類,,OP-132,,研發,永利,115,37.04
6月2日,L267818,C 類,待處理,OP-148,待確認,資材,捷欣,31,50.35
2026/7/29,L265634,B 類,不合格,OP-131,,研發,捷欣,195,18.75
0618,L263911,B 類,已結案,OP-121,待確認,品保,東昇,231,32.47
2026/6/12,L261380,A 類,,OP-114,已回報,資材,力鋼,109,75.63
2026/7/24,L266352,C 類,合格,OP-105,,資材,東昇,74,86.24
7月14日,L269549,A 類,,OP-129,待確認,研發,東昇,35,75.52
0726,L264625,B 類,待處理,OP-107,已回報,製造,永利,70,1.96
7月20日,L265129,其他,已結案,OP-143,,製造,永利,229,37.48
7月3日,L267658,B 類,待處理,OP-119,,營運,大宏,115,35.38
7月28日,L262034,C 類,待處理,OP-130,,研發,順發,20,19.21
6月20日,L266475,B 類,已結案,OP-130,已回報,製造,大宏,158,80.33
0725,L269891,B 類,不合格,OP-132,已回報,研發,力鋼,190,4.36
2026/7/28,L264869,C 類,,OP-132,,研發,永利,159,89.78
6月12日,L265066,C 類,,OP-116,已回報,製造,力鋼,112,17.34
6月3日,L266695,B 類,不合格,OP-148,,製造,力鋼,8,20.4
2026/7/22,L263974,B 類,待處理,OP-124,,營運,大宏,66,30.4
0718,L268976,B 類,不合格,OP-133,已回報,製造,大宏,103,29.61
2026/6/7,L262859,B 類,,OP-138,,研發,力鋼,219,46.56
2026/7/8,L269361,B 類,不合格,OP-105,,品保,捷欣,15,19.9
6月14日,L261061,其他,不合格,OP-128,待確認,營運,順發,205,35.0
0705,L267645,A 類,,OP-102,已回報,資材,東昇,76,43.86
0730,L263582,C 類,合格,OP-130,待確認,品保,大宏,51,96.96
2026/7/4,L260866,B 類,合格,OP-144,,研發,捷欣,68,77.14
2026/7/17,L262584,B 類,合格,OP-112,已回報,研發,東昇,215,56.51
0712,L266961,其他,不合格,OP-144,,研發,捷欣,130,48.1
2026/6/24,L263579,A 類,已結案,OP-135,待確認,營運,永利,169,50.65
7月19日,L268370,C 類,,OP-130,已回報,資材,永利,194,91.97
2026/7/14,L267141,A 類,,OP-137,,資材,力鋼,144,24.56
2026/6/16,L264124,C 類,合格,OP-125,待確認,營運,大宏,41,37.2
0614,L261574,其他,不合格,OP-106,,製造,大宏,89,82.23
2026/6/15,L266644,其他,合格,OP-121,,資材,永利,35,46.07
0611,L269561,C 類,,OP-103,,製造,力鋼,228,82.79
2026/6/24,L260947,B 類,已結案,OP-103,,資材,大宏,167,58.2
7月13日,L260198,C 類,已結案,OP-145,待確認,營運,東昇,129,50.17
7月8日,L264151,C 類,待處理,OP-136,,營運,順發,181,94.8
7月4日,L261252,其他,,OP-105,待確認,營運,東昇,53,5.26
2026/7/5,L266328,B 類,不合格,OP-121,待確認,營運,力鋼,68,92.91
0729,L261760,C 類,,OP-134,,資材,永利,178,62.3
2026/6/16,L268010,其他,不合格,OP-106,已回報,資材,東昇,32,41.78
2026/6/17,L263817,C 類,已結案,OP-142,,研發,永利,61,18.05
0613,L263281,其他,合格,OP-110,,製造,東昇,229,86.24
0727,L264053,C 類,不合格,OP-111,,營運,力鋼,18,81.55
0711,L267789,其他,,OP-118,,營運,大宏,43,41.16
6月26日,L266597,其他,合格,OP-147,已回報,營運,永利,105,6.76
2026/6/21,L261822,B 類,不合格,OP-111,,品保,力鋼,218,74.04
7月17日,L263652,其他,,OP-120,,研發,捷欣,235,59.81
6月3日,L266434,其他,不合格,OP-123,,品保,大宏,125,2.66
0605,L263019,C 類,待處理,OP-105,,製造,大宏,76,40.29
6月23日,L261190,B 類,不合格,OP-104,,營運,順發,147,29.86
6月20日,L265767,C 類,已結案,OP-132,,品保,東昇,237,49.81
2026/6/27,L267142,C 類,待處理,OP-103,,製造,永利,215,20.76
0718,L262589,A 類,待處理,OP-139,待確認,研發,東昇,49,49.16
0620,L266756,A 類,待處理,OP-128,,營運,順發,141,52.68
0717,L263849,C 類,,OP-136,,資材,永利,102,2.33
7月22日,L268422,其他,待處理,OP-128,已回報,製造,東昇,51,32.61
6月29日,L262328,C 類,,OP-104,,資材,大宏,191,82.65
6月28日,L261436,B 類,待處理,OP-114,,研發,順發,186,59.78
2026/6/23,L269231,C 類,待處理,OP-112,已回報,研發,大宏,99,48.2
2026/6/27,L260270,A 類,已結案,OP-131,待確認,研發,力鋼,146,50.18
2026/7/13,L265853,B 類,,OP-119,,製造,順發,68,97.38
0716,L262899,其他,待處理,OP-116,,品保,順發,66,11.9
7月14日,L261241,其他,不合格,OP-146,,製造,永利,121,20.42
0612,L265124,A 類,合格,OP-132,已回報,研發,力鋼,76,23.73
6月30日,L261578,A 類,合格,OP-106,,品保,力鋼,167,70.57
0717,L262486,其他,,OP-103,,營運,捷欣,137,66.95
2026/7/29,L267028,其他,待處理,OP-142,,研發,大宏,211,39.64
2026/6/2,L263895,A 類,已結案,OP-128,,研發,力鋼,113,80.74
0607,L269464,B 類,,OP-136,待確認,研發,順發,168,27.21
7月14日,L263899,其他,合格,OP-143,,資材,東昇,233,81.01
0728,L262415,A 類,合格,OP-111,,製造,大宏,7,16.7
6月19日,L268253,其他,已結案,OP-123,已回報,製造,順發,127,49.21
2026/6/30,L262887,其他,待處理,OP-134,,品保,永利,42,60.11
2026/6/21,L267981,其他,已結案,OP-129,待確認,資材,大宏,48,30.78
0621,L261990,其他,不合格,OP-106,,研發,東昇,165,1.16
0613,L264783,C 類,待處理,OP-115,,品保,東昇,20,3.6
2026/6/19,L262997,C 類,,OP-121,,資材,順發,212,94.89
7月21日,L260593,其他,待處理,OP-148,,營運,東昇,113,41.6
2026/6/3,L263621,C 類,待處理,OP-110,已回報,研發,永利,185,5.82
7月17日,L267461,B 類,待處理,OP-128,待確認,研發,力鋼,70,22.8
2026/6/14,L261238,B 類,已結案,OP-118,待確認,研發,順發,135,36.4
2026/7/16,L268684,A 類,不合格,OP-145,,研發,東昇,197,40.87
2026/7/15,L262382,其他,已結案,OP-146,,資材,東昇,160,12.43
2026/7/26,L266992,其他,已結案,OP-124,,資材,順發,227,67.41
6月30日,L262183,B 類,已結案,OP-136,,研發,大宏,42,58.03
2026/6/2,L263497,其他,合格,OP-141,待確認,營運,捷欣,110,77.06
0718,L267510,C 類,已結案,OP-120,待確認,研發,大宏,199,48.69
7月22日,L261379,A 類,已結案,OP-106,,研發,力鋼,145,34.55
6月8日,L263118,C 類,已結案,OP-115,,製造,東昇,237,41.85
6月14日,L260487,B 類,,OP-125,,品保,大宏,225,87.86
2026/6/28,L268861,C 類,已結案,OP-124,,資材,永利,226,46.31
6月18日,L262819,其他,合格,OP-141,,營運,永利,7,86.45
7月30日,L264768,B 類,待處理,OP-118,,品保,永利,74,7.51
7月6日,L267526,其他,合格,OP-118,已回報,資材,永利,177,19.7
2026/6/3,L261841,C 類,待處理,OP-123,,製造,力鋼,77,18.21
7月27日,L267675,B 類,,OP-126,,資材,永利,43,96.48
2026/7/26,L261953,A 類,不合格,OP-126,,研發,順發,191,97.75
6月30日,L265094,C 類,合格,OP-129,已回報,品保,力鋼,237,84.19
2026/6/2,L264856,B 類,不合格,OP-101,,資材,大宏,15,0.86
6月9日,L262097,C 類,不合格,OP-125,,研發,力鋼,15,58.91
2026/6/4,L269512,C 類,合格,OP-105,已回報,製造,力鋼,50,48.23
2026/7/10,L264076,A 類,不合格,OP-116,,營運,捷欣,207,23.91
6月20日,L266960,其他,待處理,OP-119,,資材,順發,82,89.79
6月18日,L261170,B 類,待處理,OP-102,,製造,捷欣,123,71.44
0728,L260330,A 類,不合格,OP-106,,研發,東昇,34,50.53
6月20日,L261373,A 類,已結案,OP-119,,營運,永利,75,65.76
2026/7/9,L267668,其他,,OP-109,,資材,東昇,159,60.38
7月21日,L262095,其他,不合格,OP-124,已回報,營運,力鋼,13,35.64
2026/7/17,L264610,其他,,OP-139,已回報,品保,力鋼,199,25.78
7月10日,L264742,C 類,,OP-103,,品保,大宏,166,75.21
6月22日,L260169,B 類,已結案,OP-102,,營運,永利,211,0.97
6月29日,L263598,A 類,,OP-144,,製造,捷欣,13,73.81
6月28日,L266690,C 類,待處理,OP-140,,資材,永利,201,79.99
6月7日,L262382,B 類,,OP-107,,營運,永利,94,79.65
2026/7/27,L266175,C 類,,OP-110,待確認,資材,永利,90,43.24
0726,L263450,其他,合格,OP-108,已回報,研發,捷欣,200,12.34
2026/6/18,L262283,C 類,不合格,OP-138,待確認,品保,東昇,6,8.54
2026/7/19,L269065,A 類,合格,OP-117,,營運,永利,33,25.46
2026/6/29,L265488,C 類,不合格,OP-113,,營運,捷欣,79,54.99
2026/6/23,L265572,C 類,,OP-130,,品保,順發,29,77.03
2026/7/8,L266213,A 類,,OP-107,待確認,資材,力鋼,201,77.06
0718,L265023,B 類,不合格,OP-129,待確認,製造,東昇,37,12.34
2026/7/29,L266386,C 類,,OP-125,,品保,力鋼,95,19.27
2026/6/19,L263779,A 類,不合格,OP-115,,營運,力鋼,72,43.93
2026/6/12,L268932,A 類,合格,OP-123,待確認,資材,大宏,50,25.92
6月16日,L264154,其他,待處理,OP-135,,營運,捷欣,66,48.29
2026/6/11,L263530,B 類,不合格,OP-130,,研發,大宏,24,34.28
6月18日,L260024,其他,合格,OP-118,已回報,製造,永利,193,38.49
7月14日,L268368,B 類,已結案,OP-107,,研發,順發,222,70.88
6月6日,L263989,B 類,,OP-113,,資材,力鋼,165,62.11
2026/7/23,L269537,其他,已結案,OP-111,待確認,研發,捷欣,19,42.16
0724,L265262,B 類,,OP-108,,資材,力鋼,93,39.39
2026/7/5,L267397,其他,,OP-125,,品保,大宏,4,56.36
7月11日,L260069,B 類,不合格,OP-107,,營運,東昇,146,36.52
6月20日,L261852,A 類,待處理,OP-143,,營運,永利,213,57.5
0630,L261178,B 類,不合格,OP-127,,品保,順發,213,92.02
0702,L269585,C 類,待處理,OP-143,待確認,營運,順發,201,27.09
0703,L265372,C 類,待處理,OP-118,,品保,東昇,227,96.21
7月30日,L262561,其他,已結案,OP-104,,營運,永利,220,18.53
0613,L266932,C 類,,OP-122,,營運,大宏,143,78.46
7月25日,L266256,B 類,,OP-123,待確認,製造,捷欣,206,77.41
2026/6/16,L260993,C 類,待處理,OP-130,,品保,大宏,186,83.06
0710,L266685,其他,不合格,OP-117,,品保,捷欣,94,69.1
0710,L268738,其他,已結案,OP-134,,研發,永利,86,56.24
0601,L264329,C 類,已結案,OP-114,待確認,品保,大宏,20,72.39
2026/7/20,L260562,B 類,已結案,OP-106,,資材,大宏,109,63.73
2026/6/3,L265815,C 類,,OP-112,,品保,順發,96,57.74
0711,L264789,其他,,OP-123,,製造,捷欣,210,23.55
7月19日,L261511,其他,已結案,OP-117,,製造,捷欣,17,15.76
2026/7/28,L266650,A 類,不合格,OP-131,,研發,東昇,203,73.04
0621,L262418,其他,不合格,OP-111,待確認,研發,東昇,50,33.0
0718,L269555,B 類,已結案,OP-117,待確認,研發,順發,180,38.07
6月17日,L263564,其他,,OP-129,,製造,永利,76,21.79
6月29日,L262179,A 類,待處理,OP-113,,營運,東昇,66,42.11
0705,L263389,C 類,已結案,OP-139,,品保,力鋼,72,88.05
6月24日,L264547,其他,合格,OP-137,待確認,品保,捷欣,74,55.98
0610,L260711,A 類,合格,OP-122,待確認,研發,永利,56,77.71
2026/6/23,L267113,其他,已結案,OP-107,待確認,研發,順發,68,84.18
0712,L260544,B 類,已結案,OP-101,,研發,東昇,18,33.34
2026/7/5,L261584,A 類,,OP-148,,製造,順發,122,67.91
6月11日,L261375,B 類,,OP-113,已回報,營運,順發,171,7.81
